command,description,os,generated_command,pos_tags
comp,compare the contents of two files or sets of files,windows,,"[('compare', 'VERB'), ('the', 'DET'), ('contents', 'NOUN'), ('of', 'ADP'), ('two', 'NUM'), ('files', 'NOUN'), ('or', 'CCONJ'), ('sets', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN')]"
compact,compress files or folders on an ntfs partition,windows,,"[('compress', 'VERB'), ('files', 'NOUN'), ('or', 'CCONJ'), ('folders', 'NOUN'), ('on', 'ADP'), ('an', 'DET'), ('ntfs', 'PROPN'), ('partition', 'NOUN')]"
compress,compress one or more files,windows,,"[('compress', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
con,console input,windows,,"[('console', 'NOUN'), ('input', 'NOUN')]"
convert,convert a fat drive to ntfs,windows,,"[('convert', 'VERB'), ('a', 'DET'), ('fat', 'ADJ'), ('drive', 'NOUN'), ('to', 'ADP'), ('ntfs', 'PROPN')]"
copy,copy one or more files to another location ,windows,,"[('copy', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN'), ('to', 'ADP'), ('another', 'DET'), ('location', 'NOUN')]"
coreinfo,show the mapping between logical  physical processors,windows,,"[('show', 'VERB'), ('the', 'DET'), ('mapping', 'NOUN'), ('between', 'ADP'), ('logical', 'ADJ'), (' ', 'SPACE'), ('physical', 'ADJ'), ('processors', 'NOUN')]"
csccmd,clientside caching offline files,windows,,"[('clientside', 'NOUN'), ('caching', 'VERB'), ('offline', 'ADJ'), ('files', 'NOUN')]"
csvde,import or export active directory data,windows,,"[('import', 'NOUN'), ('or', 'CCONJ'), ('export', 'VERB'), ('active', 'ADJ'), ('directory', 'NOUN'), ('data', 'NOUN')]"
curl,transfer data from or to a server,windows,,"[('transfer', 'VERB'), ('data', 'NOUN'), ('from', 'ADP'), ('or', 'CCONJ'), ('to', 'ADP'), ('a', 'DET'), ('server', 'NOUN')]"
date,display or set the date ,windows,,"[('display', 'VERB'), ('or', 'CCONJ'), ('set', 'VERB'), ('the', 'DET'), ('date', 'NOUN')]"
defrag,defragment hard drive,windows,,"[('defragment', 'VERB'), ('hard', 'ADJ'), ('drive', 'NOUN')]"
del,delete one or more files ,windows,,"[('delete', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
delprof,delete user profiles,windows,,"[('delete', 'ADJ'), ('user', 'NOUN'), ('profiles', 'NOUN')]"
deltree,delete a folder and all subfolders,windows,,"[('delete', 'VERB'), ('a', 'DET'), ('folder', 'NOUN'), ('and', 'CCONJ'), ('all', 'DET'), ('subfolders', 'NOUN')]"
devcon,device manager command line utility,windows,,"[('device', 'NOUN'), ('manager', 'NOUN'), ('command', 'NOUN'), ('line', 'NOUN'), ('utility', 'NOUN')]"
dir,display a list of files and folders ,windows,,"[('display', 'VERB'), ('a', 'DET'), ('list', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN'), ('and', 'CCONJ'), ('folders', 'NOUN')]"
diruse,display directory sizesusage,windows,,"[('display', 'VERB'), ('directory', 'NOUN'), ('sizesusage', 'NOUN')]"
diskpart,disk administration,windows,,"[('disk', 'PROPN'), ('administration', 'NOUN')]"
diskshadow,volume shadow copy service,windows,,"[('volume', 'NOUN'), ('shadow', 'NOUN'), ('copy', 'NOUN'), ('service', 'NOUN')]"
diskuse,show the space used in folders,windows,,"[('show', 'VERB'), ('the', 'DET'), ('space', 'NOUN'), ('used', 'VERB'), ('in', 'ADP'), ('folders', 'NOUN')]"
dism,deployment image servicing and management,windows,,"[('deployment', 'ADJ'), ('image', 'NOUN'), ('servicing', 'NOUN'), ('and', 'CCONJ'), ('management', 'NOUN')]"
displayswitch,specify which display to use and how to use it,windows,,"[('specify', 'VERB'), ('which', 'PRON'), ('display', 'VERB'), ('to', 'PART'), ('use', 'VERB'), ('and', 'CCONJ'), ('how', 'SCONJ'), ('to', 'PART'), ('use', 'VERB'), ('it', 'PRON')]"
dnscmd,manage dns servers,windows,,"[('manage', 'VERB'), ('dns', 'NOUN'), ('servers', 'NOUN')]"
doskey,edit command line recall commands and create macros,windows,,"[('edit', 'PROPN'), ('command', 'NOUN'), ('line', 'NOUN'), ('recall', 'NOUN'), ('commands', 'NOUN'), ('and', 'CCONJ'), ('create', 'VERB'), ('macros', 'NOUN')]"
driverquery,display installed device drivers,windows,,"[('display', 'VERB'), ('installed', 'VERB'), ('device', 'NOUN'), ('drivers', 'NOUN')]"
dsacls,active directory acls,windows,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('acls', 'NOUN')]"
dsadd,add items to active directory user group computer,windows,,"[('add', 'VERB'), ('items', 'NOUN'), ('to', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsget,view items in active directory user group computer,windows,,"[('view', 'VERB'), ('items', 'NOUN'), ('in', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsquery,search active directory user group computer,windows,,"[('search', 'VERB'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsmod,modify items in active directory user group computer,windows,,"[('modify', 'VERB'), ('items', 'NOUN'), ('in', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsmove,move an active directory object,windows,,"[('move', 'VERB'), ('an', 'DET'), ('active', 'ADJ'), ('directory', 'NOUN'), ('object', 'NOUN')]"
dsrm,remove items from active directory,windows,,"[('remove', 'VERB'), ('items', 'NOUN'), ('from', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN')]"
dsregcmd,directory service registration,windows,,"[('directory', 'NOUN'), ('service', 'NOUN'), ('registration', 'NOUN')]"
du,display directory sizesusage,windows,,"[('display', 'VERB'), ('directory', 'NOUN'), ('sizesusage', 'NOUN')]"
echo,display message on screen ,windows,,"[('display', 'VERB'), ('message', 'NOUN'), ('on', 'ADP'), ('screen', 'NOUN')]"
endlocal,end localisation of the environment in a batch file ,windows,,"[('end', 'NOUN'), ('localisation', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('environment', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
erase,delete one or more files ,windows,,"[('delete', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
eventcreate,add a message to the windows event log,windows,,"[('add', 'VERB'), ('a', 'DET'), ('message', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'NOUN'), ('event', 'NOUN'), ('log', 'NOUN')]"
exit,quit the current scriptroutine and set an errorlevel ,windows,,"[('quit', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('scriptroutine', 'NOUN'), ('and', 'CCONJ'), ('set', 'VERB'), ('an', 'DET'), ('errorlevel', 'NOUN')]"
expand,uncompress cab files,windows,,"[('uncompress', 'ADJ'), ('cab', 'NOUN'), ('files', 'NOUN')]"
explorer,open windows explorer,windows,,"[('open', 'ADJ'), ('windows', 'NOUN'), ('explorer', 'NOUN')]"
extract,uncompress cab files,windows,,"[('uncompress', 'ADJ'), ('cab', 'NOUN'), ('files', 'NOUN')]"
fc,compare two files,windows,,"[('compare', 'VERB'), ('two', 'NUM'), ('files', 'NOUN')]"
find,search for a text string in a file,windows,,"[('search', 'VERB'), ('for', 'ADP'), ('a', 'DET'), ('text', 'NOUN'), ('string', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
findstr,search for strings in files,windows,,"[('search', 'VERB'), ('for', 'ADP'), ('strings', 'NOUN'), ('in', 'ADP'), ('files', 'NOUN')]"
fltmc,manage minifilter drivers,windows,,"[('manage', 'VERB'), ('minifilter', 'NOUN'), ('drivers', 'NOUN')]"
fondue,features on demand user experience tool,windows,,"[('features', 'NOUN'), ('on', 'ADP'), ('demand', 'NOUN'), ('user', 'NOUN'), ('experience', 'NOUN'), ('tool', 'NOUN')]"
for f,loop command against a set of files ,windows,,"[('loop', 'PROPN'), ('command', 'NOUN'), ('against', 'ADP'), ('a', 'DET'), ('set', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN')]"
for,loop command all options files directory list ,windows,,"[('loop', 'PROPN'), ('command', 'NOUN'), ('all', 'DET'), ('options', 'NOUN'), ('files', 'NOUN'), ('directory', 'NOUN'), ('list', 'NOUN')]"
forfiles,batch process multiple files,windows,,"[('batch', 'NOUN'), ('process', 'NOUN'), ('multiple', 'ADJ'), ('files', 'NOUN')]"
format,format a disk,windows,,"[('format', 'NOUN'), ('a', 'DET'), ('disk', 'NOUN')]"
freedisk,check free disk space,windows,,"[('check', 'VERB'), ('free', 'ADJ'), ('disk', 'NOUN'), ('space', 'NOUN')]"
fsutil,file and volume utilities,windows,,"[('file', 'NOUN'), ('and', 'CCONJ'), ('volume', 'NOUN'), ('utilities', 'NOUN')]"
ftp,file transfer protocol,windows,,"[('file', 'NOUN'), ('transfer', 'NOUN'), ('protocol', 'NOUN')]"
ftype,file extension file type associations ,windows,,"[('file', 'NOUN'), ('extension', 'NOUN'), ('file', 'NOUN'), ('type', 'NOUN'), ('associations', 'NOUN')]"
getmac,display the media access control mac address,windows,,"[('display', 'VERB'), ('the', 'DET'), ('media', 'NOUN'), ('access', 'NOUN'), ('control', 'PROPN'), ('mac', 'PROPN'), ('address', 'PROPN')]"
goto,direct a batch program to jump to a labelled line ,windows,,"[('direct', 'VERB'), ('a', 'DET'), ('batch', 'NOUN'), ('program', 'NOUN'), ('to', 'PART'), ('jump', 'VERB'), ('to', 'ADP'), ('a', 'DET'), ('labelled', 'VERB'), ('line', 'NOUN')]"
gpresult,display resultant set of policy information,windows,,"[('display', 'VERB'), ('resultant', 'NOUN'), ('set', 'NOUN'), ('of', 'ADP'), ('policy', 'NOUN'), ('information', 'NOUN')]"
gpupdate,update group policy settings,windows,,"[('update', 'PROPN'), ('group', 'NOUN'), ('policy', 'NOUN'), ('settings', 'NOUN')]"
help,online help,windows,,"[('online', 'ADJ'), ('help', 'NOUN')]"
hostname,display the host name of the computer,windows,,"[('display', 'VERB'), ('the', 'DET'), ('host', 'NOUN'), ('name', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('computer', 'NOUN')]"
icacls,change file and folder permissions,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('permissions', 'NOUN')]"
iexpress,create a self extracting zip file archive,windows,,"[('create', 'VERB'), ('a', 'DET'), ('self', 'NOUN'), ('extracting', 'VERB'), ('zip', 'NOUN'), ('file', 'NOUN'), ('archive', 'NOUN')]"
if,conditionally perform a command ,windows,,"[('conditionally', 'ADV'), ('perform', 'VERB'), ('a', 'DET'), ('command', 'NOUN')]"
ifmember,is the current user a member of a group,windows,,"[('is', 'AUX'), ('the', 'DET'), ('current', 'ADJ'), ('user', 'NOUN'), ('a', 'DET'), ('member', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('group', 'NOUN')]"
ipconfig,configure ip,windows,,"[('configure', 'PROPN'), ('ip', 'VERB')]"
inuse,replace files that are in use by the os,windows,,"[('replace', 'VERB'), ('files', 'NOUN'), ('that', 'PRON'), ('are', 'AUX'), ('in', 'ADP'), ('use', 'NOUN'), ('by', 'ADP'), ('the', 'DET'), ('os', 'NOUN')]"
klist,list cached kerberos tickets,windows,,"[('list', 'NOUN'), ('cached', 'VERB'), ('kerberos', 'ADP'), ('tickets', 'NOUN')]"
label,edit a disk label,windows,,"[('edit', 'VERB'), ('a', 'DET'), ('disk', 'NOUN'), ('label', 'NOUN')]"
lgpo,local group policy object utility,windows,,"[('local', 'ADJ'), ('group', 'NOUN'), ('policy', 'NOUN'), ('object', 'NOUN'), ('utility', 'NOUN')]"
lodctr,load perfmon performance counters,windows,,"[('load', 'VERB'), ('perfmon', 'ADJ'), ('performance', 'NOUN'), ('counters', 'NOUN')]"
logman,manage performance monitor logs,windows,,"[('manage', 'VERB'), ('performance', 'NOUN'), ('monitor', 'NOUN'), ('logs', 'NOUN')]"
logoff,log a user off,windows,,"[('log', 'VERB'), ('a', 'DET'), ('user', 'NOUN'), ('off', 'ADP')]"
logtime,log the date and time in a file,windows,,"[('log', 'VERB'), ('the', 'DET'), ('date', 'NOUN'), ('and', 'CCONJ'), ('time', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
makecab,create cab files,windows,,"[('create', 'VERB'), ('cab', 'NOUN'), ('files', 'NOUN')]"
mapisend,send email from the command line,windows,,"[('send', 'VERB'), ('email', 'NOUN'), ('from', 'ADP'), ('the', 'DET'), ('command', 'NOUN'), ('line', 'NOUN')]"
managebde,bitlocker drive encryption,windows,,"[('bitlocker', 'PROPN'), ('drive', 'NOUN'), ('encryption', 'NOUN')]"
mbr2gpt,convert a disk partition from master boot record to a gpt,windows,,"[('convert', 'VERB'), ('a', 'DET'), ('disk', 'NOUN'), ('partition', 'NOUN'), ('from', 'ADP'), ('master', 'NOUN'), ('boot', 'PROPN'), ('record', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('gpt', 'NOUN')]"
md,create a new directory ,windows,,"[('create', 'VERB'), ('a', 'DET'), ('new', 'ADJ'), ('directory', 'NOUN')]"
mklink,create a symbolic link linkd ,windows,,"[('create', 'VERB'), ('a', 'DET'), ('symbolic', 'ADJ'), ('link', 'NOUN'), ('linkd', 'VERB')]"
mode,configure a system device comlptcon,windows,,"[('configure', 'VERB'), ('a', 'DET'), ('system', 'NOUN'), ('device', 'NOUN'), ('comlptcon', 'NOUN')]"
more,display output one screen at a time,windows,,"[('display', 'VERB'), ('output', 'NOUN'), ('one', 'NUM'), ('screen', 'NOUN'), ('at', 'ADP'), ('a', 'DET'), ('time', 'NOUN')]"
mountvol,manage a volume mount point,windows,,"[('manage', 'VERB'), ('a', 'DET'), ('volume', 'NOUN'), ('mount', 'PROPN'), ('point', 'NOUN')]"
move,move files from one folder to another ,windows,,"[('move', 'VERB'), ('files', 'NOUN'), ('from', 'ADP'), ('one', 'NUM'), ('folder', 'NOUN'), ('to', 'ADP'), ('another', 'PRON')]"
moveuser,move a user from one domain to another,windows,,"[('move', 'VERB'), ('a', 'DET'), ('user', 'NOUN'), ('from', 'ADP'), ('one', 'NUM'), ('domain', 'NOUN'), ('to', 'ADP'), ('another', 'PRON')]"
msg,send a message,windows,,"[('send', 'VERB'), ('a', 'DET'), ('message', 'NOUN')]"
msiexec,microsoft windows installer,windows,,"[('microsoft', 'PROPN'), ('windows', 'PROPN'), ('installer', 'NOUN')]"
msinfo32,system information,windows,,"[('system', 'NOUN'), ('information', 'NOUN')]"
mstsc,terminal server connectionremote desktop protocolrdp,windows,,"[('terminal', 'ADJ'), ('server', 'NOUN'), ('connectionremote', 'NOUN'), ('desktop', 'NOUN'), ('protocolrdp', 'NOUN')]"
net,manage network resources,windows,,"[('manage', 'VERB'), ('network', 'NOUN'), ('resources', 'NOUN')]"
netdom,domain manager,windows,,"[('domain', 'NOUN'), ('manager', 'NOUN')]"
netsh,configure network interfaces firewall  remote access,windows,,"[('configure', 'NOUN'), ('network', 'NOUN'), ('interfaces', 'VERB'), ('firewall', 'NOUN'), (' ', 'SPACE'), ('remote', 'ADJ'), ('access', 'NOUN')]"
nbtstat,display networking statistics netbios over tcpip,windows,,"[('display', 'VERB'), ('networking', 'VERB'), ('statistics', 'NOUN'), ('netbios', 'NOUN'), ('over', 'ADP'), ('tcpip', 'NOUN')]"
netstat,display networking statistics tcpip,windows,,"[('display', 'VERB'), ('networking', 'VERB'), ('statistics', 'NOUN'), ('tcpip', 'NOUN')]"
nlsinfo,display locale information reskit,windows,,"[('display', 'VERB'), ('locale', 'ADJ'), ('information', 'NOUN'), ('reskit', 'NOUN')]"
nltest,network location test ad,windows,,"[('network', 'NOUN'), ('location', 'NOUN'), ('test', 'NOUN'), ('ad', 'NOUN')]"
nmbind,manage hyperv network bindings,windows,,"[('manage', 'VERB'), ('hyperv', 'NOUN'), ('network', 'NOUN'), ('bindings', 'NOUN')]"
now,display the current date and time,windows,,"[('display', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('date', 'NOUN'), ('and', 'CCONJ'), ('time', 'NOUN')]"
nslookup,name server lookup,windows,,"[('name', 'NOUN'), ('server', 'NOUN'), ('lookup', 'NOUN')]"
ntbackup,windows backup folders to tape,windows,,"[('windows', 'PROPN'), ('backup', 'VERB'), ('folders', 'NOUN'), ('to', 'PART'), ('tape', 'VERB')]"
ntdsutil,active directory domain services management,windows,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('domain', 'NOUN'), ('services', 'NOUN'), ('management', 'NOUN')]"
ntrights,edit user account rights,windows,,"[('edit', 'PROPN'), ('user', 'NOUN'), ('account', 'NOUN'), ('rights', 'NOUN')]"
nvspbind,modify network bindings,windows,,"[('modify', 'VERB'), ('network', 'NOUN'), ('bindings', 'NOUN')]"
openfiles,query or display open files,windows,,"[('query', 'NOUN'), ('or', 'CCONJ'), ('display', 'VERB'), ('open', 'ADJ'), ('files', 'NOUN')]"
path,display or set a search path for executable files ,windows,,"[('display', 'VERB'), ('or', 'CCONJ'), ('set', 'VERB'), ('a', 'DET'), ('search', 'NOUN'), ('path', 'NOUN'), ('for', 'ADP'), ('executable', 'ADJ'), ('files', 'NOUN')]"
pathping,trace route plus network latency and packet loss,windows,,"[('trace', 'PROPN'), ('route', 'NOUN'), ('plus', 'CCONJ'), ('network', 'NOUN'), ('latency', 'NOUN'), ('and', 'CCONJ'), ('packet', 'NOUN'), ('loss', 'NOUN')]"
pause,suspend processing of a batch file ,windows,,"[('suspend', 'VERB'), ('processing', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
perms,show permissions for a user,windows,,"[('show', 'VERB'), ('permissions', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('user', 'NOUN')]"
ping,test a network connection,windows,,"[('test', 'VERB'), ('a', 'DET'), ('network', 'NOUN'), ('connection', 'NOUN')]"
pktmon,monitor internal packet propagation and packet drop reports,windows,,"[('monitor', 'VERB'), ('internal', 'ADJ'), ('packet', 'NOUN'), ('propagation', 'NOUN'), ('and', 'CCONJ'), ('packet', 'ADJ'), ('drop', 'NOUN'), ('reports', 'NOUN')]"
pnputil,plug and play utility,windows,,"[('plug', 'VERB'), ('and', 'CCONJ'), ('play', 'VERB'), ('utility', 'NOUN')]"
popd,return to a previous directory saved by pushd ,windows,,"[('return', 'VERB'), ('to', 'ADP'), ('a', 'DET'), ('previous', 'ADJ'), ('directory', 'NOUN'), ('saved', 'VERB'), ('by', 'ADP'), ('pushd', 'NOUN')]"
portqry,display the status of ports and services,windows,,"[('display', 'VERB'), ('the', 'DET'), ('status', 'NOUN'), ('of', 'ADP'), ('ports', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
powercfg,configure power settings,windows,,"[('configure', 'NOUN'), ('power', 'NOUN'), ('settings', 'NOUN')]"
print,print a text file,windows,,"[('print', 'VERB'), ('a', 'DET'), ('text', 'NOUN'), ('file', 'NOUN')]"
printbrm,print queue backuprecovery,windows,,"[('print', 'NOUN'), ('queue', 'NOUN'), ('backuprecovery', 'NOUN')]"
prncnfg,configure a printer,windows,,"[('configure', 'VERB'), ('a', 'DET'), ('printer', 'NOUN')]"
prndrvr,add delete or list print drivers,windows,,"[('add', 'VERB'), ('delete', 'ADJ'), ('or', 'CCONJ'), ('list', 'NOUN'), ('print', 'NOUN'), ('drivers', 'NOUN')]"
prnjobs,pause resume cancel or list print jobs,windows,,"[('pause', 'PROPN'), ('resume', 'VERB'), ('cancel', 'NOUN'), ('or', 'CCONJ'), ('list', 'VERB'), ('print', 'NOUN'), ('jobs', 'NOUN')]"
prnmngr,add delete or list printer connections,windows,,"[('add', 'VERB'), ('delete', 'ADJ'), ('or', 'CCONJ'), ('list', 'NOUN'), ('printer', 'NOUN'), ('connections', 'NOUN')]"
prnport,manage printer ports change port configuration,windows,,"[('manage', 'VERB'), ('printer', 'NOUN'), ('ports', 'NOUN'), ('change', 'VERB'), ('port', 'NOUN'), ('configuration', 'NOUN')]"
prnqctl,manage print queues print a test page,windows,,"[('manage', 'VERB'), ('print', 'NOUN'), ('queues', 'NOUN'), ('print', 'VERB'), ('a', 'DET'), ('test', 'NOUN'), ('page', 'NOUN')]"
procdump,monitor an application for cpu spikes,windows,,"[('monitor', 'VERB'), ('an', 'DET'), ('application', 'NOUN'), ('for', 'ADP'), ('cpu', 'NOUN'), ('spikes', 'NOUN')]"
prompt,change the command prompt ,windows,,"[('change', 'VERB'), ('the', 'DET'), ('command', 'NOUN'), ('prompt', 'NOUN')]"
psexec,execute process remotely,windows,,"[('execute', 'VERB'), ('process', 'NOUN'), ('remotely', 'ADV')]"
psfile,show files opened remotely,windows,,"[('show', 'NOUN'), ('files', 'NOUN'), ('opened', 'VERB'), ('remotely', 'ADV')]"
psgetsid,display the sid of a computer or a user,windows,,"[('display', 'VERB'), ('the', 'DET'), ('sid', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('computer', 'NOUN'), ('or', 'CCONJ'), ('a', 'DET'), ('user', 'NOUN')]"
psinfo,list information about a system,windows,,"[('list', 'NOUN'), ('information', 'NOUN'), ('about', 'ADP'), ('a', 'DET'), ('system', 'NOUN')]"
pskill,kill processes by name or process id,windows,,"[('kill', 'VERB'), ('processes', 'NOUN'), ('by', 'ADP'), ('name', 'NOUN'), ('or', 'CCONJ'), ('process', 'NOUN'), ('i', 'NOUN'), ('d', 'NOUN')]"
pslist,list detailed information about processes,windows,,"[('list', 'VERB'), ('detailed', 'ADJ'), ('information', 'NOUN'), ('about', 'ADP'), ('processes', 'NOUN')]"
